50.08; 53.58; 65.66; 68.15; 79.03; 91.32; 105.96; 116.70; 122.66; 131.01; 138.16; 139.32; 139.32; 137.38; 135.54; 133.79
60.47; 64.63; 78.39; 82.52; 95.08; 107.39; 122.12; 134.46; 142.01; 151.92; 160.67; 163.42; 163.42; 160.27; 157.28; 154.45
62.81; 68.17; 83.09; 88.46; 102.17; 116.01; 132.22; 146.06; 155.10; 166.53; 176.76; 181.03; 181.03; 177.01; 173.18; 169.54
64.61; 70.50; 85.97; 91.87; 106.13; 120.57; 137.42; 151.86; 161.52; 173.57; 184.43; 189.30; 189.30; 184.87; 180.66; 176.67
66.41; 72.71; 88.61; 94.93; 109.63; 124.46; 141.70; 156.52; 166.57; 179.03; 190.25; 195.52; 195.52; 190.79; 186.26; 181.99
68.18; 75.05; 91.49; 98.36; 113.62; 128.83; 146.44; 161.67; 172.08; 184.90; 196.53; 202.18; 202.18; 197.10; 192.28; 187.68
69.54; 77.15; 94.33; 101.94; 117.92; 133.39; 151.25; 166.73; 177.42; 190.50; 202.39; 208.27; 208.27; 202.89; 197.78; 192.91
69.76; 78.33; 96.48; 105.03; 121.99; 137.65; 155.69; 171.37; 182.24; 195.50; 207.59; 213.65; 213.65; 208.02; 202.64; 197.54
69.96; 79.58; 98.74; 108.36; 126.34; 142.18; 160.43; 176.26; 187.34; 200.79; 213.05; 219.31; 219.31; 213.40; 207.74; 202.39
70.17; 80.89; 101.17; 111.90; 131.00; 147.02; 165.44; 181.47; 192.73; 206.36; 218.80; 225.26; 225.26; 219.03; 213.10; 207.46
70.37; 82.12; 103.41; 115.15; 135.26; 151.57; 170.28; 186.58; 198.12; 212.04; 224.76; 231.51; 231.51; 224.95; 218.74; 212.82
70.59; 83.20; 105.40; 118.03; 139.03; 155.37; 174.10; 190.43; 201.97; 215.92; 228.67; 235.44; 235.44; 228.69; 222.26; 216.19
